YS MEMOIRE UNUSED FONT CODE ANALYSIS
==============================================================================================================

FONT CHARACTERS: 7935
GAME FILES SCANNED: 837
USED UNICODE CODES: 9402
UNUSED FONT CODES: 451

UNUSED BY CATEGORY
--------------------------------------------------------------------------------------------------------------
OTHER                    363
LATIN1                   88

==============================================================================================================
UNUSED CODES
==============================================================================================================
index= 4062 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4063 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4064 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4065 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4066 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4067 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4068 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4069 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4070 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4071 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4072 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4073 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4074 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4075 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4076 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4077 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4078 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4079 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4080 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4081 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4082 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4083 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4084 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4085 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4086 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4087 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4088 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4089 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4090 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4091 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4092 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4093 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4094 code=U+FFFFFFFF char=''           addr=0x0 CP932=
index= 4143 code=U+00A1 char='¡'          addr=0x21C84 CP932=UNENCODABLE
index= 4144 code=U+00A3 char='£'          addr=0x2225B CP932=81 92
index= 4145 code=U+00A5 char='¥'          addr=0x22DC6 CP932=UNENCODABLE
index= 4147 code=U+00A9 char='©'          addr=0x23CAB CP932=UNENCODABLE
